省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
陕西省,农村居民人均可支配收入_累计值,2576.387701,2523.720492,3250,2386,2813,2764,3556.354635,2627.237896,3102.81054,3039.261349,3516.679037
陕西省,居民人均消费支出_累计值,3593.335517,4037.3964,4248,3630,4012,4269.69201,4600.010929,3998.48735,4267.011451,4599.37949,4022.662447
陕西省,城镇居民人均消费支出_累计值,4979.81376,5403.19462,5605.109829,5057.890171,5610,5693.43123,6049.995193,5521.407977,5848.65141,6094.22655,5080.742514
陕西省,农村居民人均消费支出_累计值,2192.112443,2610.095852,2836,2146,2351,2737.75614,3047.883097,2368.287721,2574.122978,2944.375254,2874.745885
甘肃省,居民人均可支配收入_累计值,4137.258366,4534.09186,4612,3416,4508,4952,5045.661094,3739.573138,4929.179818,5424.60559,5189.612154
甘肃省,城镇居民人均可支配收入_累计值,7522.55494,7093.0376,7823,6379,8081,7674,8453.109772,6881.060218,8711.21556,8278.06409,8615.569166
甘肃省,农村居民人均可支配收入_累计值,1908.026579,2653.094696,2431,1402,2081,2890,2647.784182,1528.859564,2267.845409,3184.446687,2746.210853
甘肃省,居民人均消费支出_累计值,3014.213372,3848.136846,4077,3054,3428,4064.95102,4033.549883,3347.258321,4014.103506,4484.16118,3511.550084
甘肃省,城镇居民人均消费支出_累计值,4959.69828,5496.05379,6221.147127,4572.852873,5815,5996.97044,5879.713281,5265.607219,6606.48338,6702.06606,5113.490282
甘肃省,农村居民人均消费支出_累计值,1733.103949,2637.290638,2621,2021,1806,2616.553298,2734.37475,1997.286142,2189.893342,2772.417104,2369.042239
青海省,居民人均可支配收入_累计值,5037.582886,5441.56447,5327,3818,5506,6106,5822.489892,4397.819898,5696.30961,6701.06491,5939.080312
青海省,城镇居民人均可支配收入_累计值,7733.73221,7896.89173,8051,6251,8362,8851,8698.079141,7180.752069,8384.66705,9566.8326,8796.971721
青海省,农村居民人均可支配收入_累计值,2564.780908,2976.315672,2761,1527,2816,3289,3034.817952,1699.986177,3089.925997,3674.628494,3129.499394
青海省,居民人均消费支出_累计值,3493.829873,4885.20036,4327,3404,3748,5078.19106,4670.461012,3629.651361,4096.759177,5147.94292,4085.875553
青海省,城镇居民人均消费支出_累计值,5167.35251,6383.97531,5936.697693,4869.302307,5501,6690.52793,6396.091149,5181.342001,5744.70405,6477.03776,5344.184403
青海省,农村居民人均消费支出_累计值,1958.943783,3385.337558,2811,2025,2095,3421.35476,2997.589717,2125.4097,2499.06889,3720.997393,2848.837462
宁夏回族自治区,居民人均可支配收入_累计值,5188.910504,6354.84795,5442,4386,5690,6882,5935.655682,4813.828648,6169.32001,7493.08255,5676.144993
宁夏回族自治区,城镇居民人均可支配收入_累计值,7326.20468,8491.37705,7802,6976,7993,9124,8425.377871,7562.784499,8575.98996,9764.29878,7996.99164
宁夏回族自治区,农村居民人均可支配收入_累计值,2865.82245,3893.922346,2822,1511,3133,4242,3076.058519,1656.489147,3405.112295,4720.731629,2986.289927
宁夏回族自治区,居民人均消费支出_累计值,3365.40014,4851.64745,4411,3706,3623,4975.09184,4714.414489,4151.366712,4078.611949,5352.37731,4022.683906
宁夏回族自治区,城镇居民人均消费支出_累计值,4498.142071,6012.90417,5937.471696,5106.528304,4859,6073.6915,6228.985908,5700.158232,5483.87764,6747.94158,5314.382304
宁夏回族自治区,农村居民人均消费支出_累计值,2134.188719,3513.667517,2716,2150,2253,3670.62365,2974.837218,2372.487489,2464.578302,3652.669981,2525.608913
新疆维吾尔自治区,居民人均可支配收入_累计值,4406.487095,7958.56149,4593,3641,4743,8523,4922.234814,3881.262791,5090.035365,9209.84775,4911.654737
新疆维吾尔自治区,城镇居民人均可支配收入_累计值,7554.14841,8260.43492,8267,7740,8028,8729,8754.777972,8144.471628,8483.27419,9281.20958,8605.763279
新疆维吾尔自治区,农村居民人均可支配收入_累计值,1842.930936,7578.242713,1533,227,2005,8210,1662.709639,255.463442,2204.36523,8999.121629,1721.136056
新疆维吾尔自治区,居民人均消费支出_累计值,3557.286226,4491.15974,3936,3689,3895,4669.09039,4198.910622,3938.623353,4246.440055,5012.59678,3824.914649
新疆维吾尔自治区,城镇居民人均消费支出_累计值,5598.48402,6188.73133,5976.516503,5821.483497,6052,6341.39243,6299.972235,6065.429135,6581.73429,6647.07774,5636.026029
新疆维吾尔自治区,农村居民人均消费支出_累计值,1894.878741,3012.653997,2237,1912,2099,3173.285948,2411.986656,2129.804877,2260.437491,3516.133896,2260.698378
